"country","year","dname","median","mima5_mhi","pl","pl_origin","pr","n_obs","total_pop","n_poor"
"Canada",1985,"ca85",26748.4422020951,26748.4422020951,13374.2211010476,"mima5_mhi",0.251030935915484,95641,25389066,6373441
"Canada",1986,"ca86",28295.7664078162,28295.7664078162,14147.8832039081,"mima5_mhi",0.240609546968355,85712,25730388,6190977
"Canada",1987,"ca87",28918.8338155312,28818.4150392154,14409.2075196077,"mima5_mhi",0.234818056609648,91944,26024221,6110957
"Canada",1988,"ca88",29907.8604770466,29420.7229969777,14710.3614984888,"mima5_mhi",0.233870827042392,82793,26365952,6166227
"Canada",1989,"ca89",30221.1722935877,29356.6932594219,14678.3466297109,"mima5_mhi",0.223001027942244,104650,26730101,5960840
"Canada",1990,"ca90",29759.9819909068,29129.543261263,14564.7716306315,"mima5_mhi",0.2376745148747,115101,27147471,6452262
"Canada",1991,"ca91",27975.6177200372,28515.7368321527,14257.8684160763,"mima5_mhi",0.259769088079579,106313,27556308,7158277
"Canada",1992,"ca92",27783.0838247365,28019.851524459,14009.9257622295,"mima5_mhi",0.262280008013409,98064,27968121,7335479
"Canada",1993,"ca93",26838.8283314952,27578.9787916407,13789.4893958203,"mima5_mhi",0.271635940520657,97260,28384241,7710180
"Canada",1994,"ca94",27741.7457551193,27271.383800613,13635.6919003065,"mima5_mhi",0.259945208824849,97973,28794418,7484971
"Canada",1995,"ca95",27555.6183268152,27083.4047544819,13541.7023772409,"mima5_mhi",0.255446557627858,85049,29135926,7442672
"Canada",1996,"ca96",26437.6427648988,27332.7507394861,13666.375369743,"mima5_mhi",0.282501239662192,79020,28868912.4131,8155503.5444
"Canada",1997,"ca97",26843.1885940809,27614.2027781985,13807.1013890993,"mima5_mhi",0.277804627766116,79001,29104363.5616,8085326.8856
"Canada",1998,"ca98",28085.5582565162,28092.9914507807,14046.4957253903,"mima5_mhi",0.26844562890944,79433,29318916.3693,7870534.9437
"Canada",1999,"ca99",29149.0059486816,28823.5028074591,14411.7514037296,"mima5_mhi",0.257376543680811,74174,29693589.9966,7642433.5628
"Canada",2000,"ca00",29949.5616897258,29534.6592702854,14767.3296351427,"mima5_mhi",0.249229440931838,72850,29988472.9864,7474010.3568
"Canada",2001,"ca01",30090.1995482911,29978.5362141284,14989.2681070642,"mima5_mhi",0.25313201586315,74398,30321453.0352,7675330.5307
"Canada",2002,"ca02",30398.9709082121,30267.1648393523,15133.5824196762,"mima5_mhi",0.250718219161961,70639,30610997.0179,7674734.6591
"Canada",2003,"ca03",30304.9429757315,30541.4934364224,15270.7467182112,"mima5_mhi",0.25658795159523,71418,30893154.9865,7926811.3563
"Canada",2004,"ca04",30592.1490748012,30831.9074706939,15415.953735347,"mima5_mhi",0.256062398450684,68542,31174918.9842,7982724.5266
"Canada",2005,"ca05",31321.2046750761,31241.2366666535,15620.6183333268,"mima5_mhi",0.248126987580507,66010,31516412.991,7820072.6148
