"country","iso2_code","year","median_dhi","mima5","pl","gini","H","n_obs","n_poor","total_pop","n_poor_pop"
"Canada","ca",1985,25111.527113474,25111.527113474,12555.763556737,0.305,0.138,95641,15246,25389066,3492631
"Canada","ca",1986,26071.464792781,26071.464792781,13035.7323963905,0.286,0.122,85712,12933,25730388,3139974
"Canada","ca",1987,26397.5613892196,26424.1497003908,13212.0748501954,0.289,0.122,91944,14046,26024221,3161973
"Canada","ca",1988,27043.6294905604,26838.904198483,13419.4520992415,0.286,0.118,82793,11761,26365952,3113077
"Canada","ca",1989,27496.5657159191,26815.5733007659,13407.786650383,0.282,0.107,104650,12517,26730101,2858788
"Canada","ca",1990,27185.2996039347,26787.9635022623,13393.9817511312,0.287,0.117,115101,15521,27147471,3189398
"Canada","ca",1991,25954.8103041958,26510.7991478071,13255.3995739035,0.292,0.127,106313,14530,27556308,3491207
"Canada","ca",1992,26259.5123967016,26227.3401833528,13113.6700916764,0.286,0.12,98064,13040,27968121,3357041
"Canada","ca",1993,25657.807718284,25974.4998183492,12987.2499091746,0.288,0.125,97260,12874,28384241,3547550
"Canada","ca",1994,26079.2708936479,25692.6802741235,12846.3401370617,0.285,0.114,97973,11973,28794418,3275194
"Canada","ca",1995,25921.0977789169,25387.5019354016,12693.7509677008,0.286,0.113,85049,10142,29135926,3296287
"Canada","ca",1996,24545.7125830669,25370.2268940836,12685.1134470418,0.303,0.133,79020,10160,28868912.4131,3829290.9235
"Canada","ca",1997,24733.6207030925,25379.0204946632,12689.5102473316,0.308,0.128,79001,9794,29104363.5616,3732815.7681
"Canada","ca",1998,25571.4325116938,25507.5238317015,12753.7619158507,0.311,0.123,79433,9097,29318916.3693,3601773.5636
"Canada","ca",1999,26123.2388965459,26118.2153914626,13059.1076957313,0.31,0.12,74174,8726,29693589.9966,3556074.0517
"Canada","ca",2000,26563.6144641082,26749.7156102598,13374.8578051299,0.317,0.124,72850,8719,29988472.9864,3719767.9149
"Canada","ca",2001,27599.1703818728,27212.0274048585,13606.0137024292,0.318,0.119,74398,8184,30321453.0352,3600873.5626
"Canada","ca",2002,27891.1217970782,27636.5724163704,13818.2862081852,0.317,0.124,70639,8084,30610997.0179,3796300.4614
"Canada","ca",2003,27882.9914846872,28155.6183366765,14077.8091683382,0.318,0.132,71418,8519,30893154.9865,4072306.2416
"Canada","ca",2004,28245.9639541058,28528.5412005076,14264.2706002538,0.32,0.133,68542,8153,31174918.9842,4154603.6388
"Canada","ca",2005,29158.8440656385,29079.3839979506,14539.6919989753,0.318,0.128,66010,7730,31516412.991,4025579.1693
"Canada","ca",2006,29463.7847010282,29735.8704255756,14867.9352127878,0.318,0.125,66646,7440,31853379.9989,3983434.4947
"Canada","ca",2007,30645.3357842935,30329.4527797332,15164.7263898666,0.316,0.117,64783,6778,32194011.0156,3757800.1429
"Canada","ca",2008,31165.4236228118,30830.0546021777,15415.0273010889,0.321,0.123,60898,6183,32567047.0113,4021143.3165
"Canada","ca",2009,31213.8757248941,31350.9867451027,15675.4933725513,0.321,0.129,62116,6454,32970037.997,4260728.5998
"Canada","ca",2010,31661.853177861,31734.6737965698,15867.3368982849,0.318,0.127,60362,6164,33324460.007,4218325.4375
"Canada","ca",2011,32068.4454156531,32085.8583977142,16042.9291988571,0.313,0.122,57836,5783,33666426.99,4112912.3574
